ID,TERM,DESCRIPTION,ATTRIBUTE_TYPE
1,Spectroscopy,Spectroscopy,calculation_type
2,Thermodynamics,Thermodynamics,calculation_type
3,Electronic properties,Electronic properties,calculation_type
4,Physical properties,Physical properties,calculation_type
